channel;event_id;description
Exchange;25000;Undocumented Exchange mailbox operation
Exchange;25001;Operation Copy - Copy item to another Exchange mailbox folder
Exchange;25002;Operation Create - Create item in Exchange mailbox
Exchange;25003;Operation FolderBind - Access Exchange mailbox folder
Exchange;25004;Operation HardDelete - Delete Exchange mailbox item permanently from Recoverable Items folder
Exchange;25005;Operation MessageBind - Access Exchange mailbox item
Exchange;25006;Operation Move - Move item to another Exchange mailbox folder
Exchange;25007;Operation MoveToDeletedItems - Move Exchange mailbox item to Deleted Items folder
Exchange;25008;Operation SendAs - Send message using Send As Exchange mailbox permissions
Exchange;25009;Operation SendOnBehalf - Send message using Send on Behalf Exchange mailbox permissions
Exchange;25010;Operation SoftDelete - Delete Exchange mailbox item from Deleted Items folder
Exchange;25011;Operation Update - Update Exchange mailbox item's properties
Exchange;25100;Information Event - Mailbox audit policy applied
Exchange;25100;Undocumented Exchange admin operation
Exchange;25101;Add-ADPermission Exchange cmdlet issued
Exchange;25102;Add-AvailabilityAddressSpace Exchange cmdlet issued
Exchange;25103;Add-ContentFilterPhrase Exchange cmdlet issued
Exchange;25104;Add-DatabaseAvailabilityGroupServer Exchange cmdlet issued
Exchange;25105;Add-DistributionGroupMember Exchange cmdlet issued
Exchange;25106;Add-FederatedDomain Exchange cmdlet issued
Exchange;25107;Add-IPAllowListEntry Exchange cmdlet issued
Exchange;25108;Add-IPAllowListProvider Exchange cmdlet issued
Exchange;25109;Add-IPBlockListEntry Exchange cmdlet issued
Exchange;25110;Add-IPBlockListProvider Exchange cmdlet issued
Exchange;25111;Add-MailboxDatabaseCopy Exchange cmdlet issued
Exchange;25112;Add-MailboxFolderPermission Exchange cmdlet issued
Exchange;25113;Add-MailboxPermission Exchange cmdlet issued
Exchange;25114;Add-ManagementRoleEntry Exchange cmdlet issued
Exchange;25115;Add-PublicFolderAdministrativePermission Exchange cmdlet issued
Exchange;25116;Add-PublicFolderClientPermission Exchange cmdlet issued
Exchange;25117;Add-RoleGroupMember Exchange cmdlet issued
Exchange;25118;Clean-MailboxDatabase Exchange cmdlet issued
Exchange;25119;Clear-ActiveSyncDevice Exchange cmdlet issued
Exchange;25120;Clear-TextMessagingAccount Exchange cmdlet issued
Exchange;25121;Compare-TextMessagingVerificationCode Exchange cmdlet issued
Exchange;25122;Connect-Mailbox Exchange cmdlet issued
Exchange;25123;Disable-AddressListPaging Exchange cmdlet issued
Exchange;25124;Disable-CmdletExtensionAgent Exchange cmdlet issued
Exchange;25125;Disable-DistributionGroup Exchange cmdlet issued
Exchange;25126;Disable-InboxRule Exchange cmdlet issued
Exchange;25127;Disable-JournalRule Exchange cmdlet issued
Exchange;25128;Disable-Mailbox Exchange cmdlet issued
Exchange;25129;Disable-MailContact Exchange cmdlet issued
Exchange;25130;Disable-MailPublicFolder Exchange cmdlet issued
Exchange;25131;Disable-MailUser Exchange cmdlet issued
Exchange;25132;Disable-OutlookAnywhere Exchange cmdlet issued
Exchange;25133;Disable-OutlookProtectionRule Exchange cmdlet issued
Exchange;25134;Disable-RemoteMailbox Exchange cmdlet issued
Exchange;25135;Disable-ServiceEmailChannel Exchange cmdlet issued
Exchange;25136;Disable-TransportAgent Exchange cmdlet issued
Exchange;25137;Disable-TransportRule Exchange cmdlet issued
Exchange;25138;Disable-UMAutoAttendant Exchange cmdlet issued
Exchange;25139;Disable-UMIPGateway Exchange cmdlet issued
Exchange;25140;Disable-UMMailbox Exchange cmdlet issued
Exchange;25141;Disable-UMServer Exchange cmdlet issued
Exchange;25142;Dismount-Database Exchange cmdlet issued
Exchange;25143;Enable-AddressListPaging Exchange cmdlet issued
Exchange;25144;Enable-AntispamUpdates Exchange cmdlet issued
Exchange;25145;Enable-CmdletExtensionAgent Exchange cmdlet issued
Exchange;25146;Enable-DistributionGroup Exchange cmdlet issued
Exchange;25147;Enable-ExchangeCertificate Exchange cmdlet issued
Exchange;25148;Enable-InboxRule Exchange cmdlet issued
Exchange;25149;Enable-JournalRule Exchange cmdlet issued
Exchange;25150;Enable-Mailbox Exchange cmdlet issued
Exchange;25151;Enable-MailContact Exchange cmdlet issued
Exchange;25152;Enable-MailPublicFolder Exchange cmdlet issued
Exchange;25153;Enable-MailUser Exchange cmdlet issued
Exchange;25154;Enable-OutlookAnywhere Exchange cmdlet issued
Exchange;25155;Enable-OutlookProtectionRule Exchange cmdlet issued
Exchange;25156;Enable-RemoteMailbox Exchange cmdlet issued
Exchange;25157;Enable-ServiceEmailChannel Exchange cmdlet issued
Exchange;25158;Enable-TransportAgent Exchange cmdlet issued
Exchange;25159;Enable-TransportRule Exchange cmdlet issued
Exchange;25160;Enable-UMAutoAttendant Exchange cmdlet issued
Exchange;25161;Enable-UMIPGateway Exchange cmdlet issued
Exchange;25162;Enable-UMMailbox Exchange cmdlet issued
Exchange;25163;Enable-UMServer Exchange cmdlet issued
Exchange;25164;Export-ActiveSyncLog Exchange cmdlet issued
Exchange;25165;Export-AutoDiscoverConfig Exchange cmdlet issued
Exchange;25166;Export-ExchangeCertificate Exchange cmdlet issued
Exchange;25167;Export-JournalRuleCollection Exchange cmdlet issued
Exchange;25168;Export-MailboxDiagnosticLogs Exchange cmdlet issued
Exchange;25169;Export-Message Exchange cmdlet issued
Exchange;25170;Export-RecipientDataProperty Exchange cmdlet issued
Exchange;25171;Export-TransportRuleCollection Exchange cmdlet issued
Exchange;25172;Export-UMCallDataRecord Exchange cmdlet issued
Exchange;25173;Export-UMPrompt Exchange cmdlet issued
Exchange;25174;Import-ExchangeCertificate Exchange cmdlet issued
Exchange;25175;Import-JournalRuleCollection Exchange cmdlet issued
Exchange;25176;Import-RecipientDataProperty Exchange cmdlet issued
Exchange;25177;Import-TransportRuleCollection Exchange cmdlet issued
Exchange;25178;Import-UMPrompt Exchange cmdlet issued
Exchange;25179;Install-TransportAgent Exchange cmdlet issued
Exchange;25180;Mount-Database Exchange cmdlet issued
Exchange;25181;Move-ActiveMailboxDatabase Exchange cmdlet issued
Exchange;25182;Move-AddressList Exchange cmdlet issued
Exchange;25183;Move-DatabasePath Exchange cmdlet issued
Exchange;25184;Move-OfflineAddressBook Exchange cmdlet issued
Exchange;25185;New-AcceptedDomain Exchange cmdlet issued
Exchange;25186;New-ActiveSyncDeviceAccessRule Exchange cmdlet issued
Exchange;25187;New-ActiveSyncMailboxPolicy Exchange cmdlet issued
Exchange;25188;New-ActiveSyncVirtualDirectory Exchange cmdlet issued
Exchange;25189;New-AddressList Exchange cmdlet issued
Exchange;25190;New-AdminAuditLogSearch Exchange cmdlet issued
Exchange;25191;New-AutodiscoverVirtualDirectory Exchange cmdlet issued
Exchange;25192;New-AvailabilityReportOutage Exchange cmdlet issued
Exchange;25193;New-ClientAccessArray Exchange cmdlet issued
Exchange;25194;New-DatabaseAvailabilityGroup Exchange cmdlet issued
Exchange;25195;New-DatabaseAvailabilityGroupNetwork Exchange cmdlet issued
Exchange;25196;New-DeliveryAgentConnector Exchange cmdlet issued
Exchange;25197;New-DistributionGroup Exchange cmdlet issued
Exchange;25198;New-DynamicDistributionGroup Exchange cmdlet issued
